Scenario,cv_pr_auc,cv_f2,cv_mcc,test_pr_auc,test_f2,test_mcc,run_id
Base (no balancing),0.1813816084331718,2.6040988515924062e-05,0.0019415895651236335,0.1805693960177442,0.0,0.0,1e918c726ba64d1087a879fb6806e473
Base + SMOTE,0.9669317724536282,0.9755380003197486,0.920551698853588,0.18190608133693445,0.522722204878919,0.40750642885701344,30aa2cdc3bb14539adc6af520cfabfb6
Base + ADASYN,0.9673450557879869,0.9733708633573543,0.9177052527891746,0.18158755635214868,0.522722204878919,0.40750642885701344,91e76471ff8f4e55b17403772c3a3322
Full (no balancing),0.181258853476942,5.2081977031848125e-05,0.004008121961437856,0.17820656254555456,0.0,-0.00013796940526569594,9b1a5751efc94ed78dbdb70dcc9b076f
Full + SMOTE,0.9872155984875896,0.9833619828014525,0.9322117481275836,0.18243537586707387,0.5177273468795882,0.40244237857458326,a580eab20f614a6f9809ed1b4bc63d6d
Full + ADASYN,0.9877986783057299,0.9830004350771133,0.9318179930566041,0.1818419505624455,0.5176789420732536,0.40239742289541597,a774b9e484e54a249ae9c14dfef92b8a
